THRESH TP FP TN FN ESPECIFICIDADE SENSITIVIDADE PRECISAO
0.078000 77.000000 829.000000 261.000000 23.000000 0.239450 0.770000 0.084989
0.079000 76.000000 826.000000 264.000000 24.000000 0.242202 0.760000 0.084257
0.080000 76.000000 821.000000 269.000000 24.000000 0.246789 0.760000 0.084727
0.081000 76.000000 816.000000 274.000000 24.000000 0.251376 0.760000 0.085202
0.082000 76.000000 812.000000 278.000000 24.000000 0.255046 0.760000 0.085586
0.083000 76.000000 808.000000 282.000000 24.000000 0.258716 0.760000 0.085973
0.084000 76.000000 805.000000 285.000000 24.000000 0.261468 0.760000 0.086266
0.085000 76.000000 803.000000 287.000000 24.000000 0.263303 0.760000 0.086462
0.086000 76.000000 797.000000 293.000000 24.000000 0.268807 0.760000 0.087056
0.087000 76.000000 792.000000 298.000000 24.000000 0.273394 0.760000 0.087558
0.088000 76.000000 788.000000 302.000000 24.000000 0.277064 0.760000 0.087963
0.089000 76.000000 787.000000 303.000000 24.000000 0.277982 0.760000 0.088065
0.090000 76.000000 781.000000 309.000000 24.000000 0.283486 0.760000 0.088681
0.091000 76.000000 778.000000 312.000000 24.000000 0.286239 0.760000 0.088993
0.092000 76.000000 772.000000 318.000000 24.000000 0.291743 0.760000 0.089623
0.093000 76.000000 768.000000 322.000000 24.000000 0.295413 0.760000 0.090047
0.094000 76.000000 767.000000 323.000000 24.000000 0.296330 0.760000 0.090154
0.095000 76.000000 766.000000 324.000000 24.000000 0.297248 0.760000 0.090261
0.096000 76.000000 765.000000 325.000000 24.000000 0.298165 0.760000 0.090369
0.097000 76.000000 761.000000 329.000000 24.000000 0.301835 0.760000 0.090800
0.098000 76.000000 756.000000 334.000000 24.000000 0.306422 0.760000 0.091346
0.099000 76.000000 753.000000 337.000000 24.000000 0.309174 0.760000 0.091677
0.100000 76.000000 749.000000 341.000000 24.000000 0.312844 0.760000 0.092121
0.101000 76.000000 741.000000 349.000000 24.000000 0.320183 0.760000 0.093023
0.102000 75.000000 739.000000 351.000000 25.000000 0.322018 0.750000 0.092138
0.103000 75.000000 735.000000 355.000000 25.000000 0.325688 0.750000 0.092593
0.104000 74.000000 724.000000 366.000000 26.000000 0.335780 0.740000 0.092732
0.105000 74.000000 719.000000 371.000000 26.000000 0.340367 0.740000 0.093317
0.106000 72.000000 715.000000 375.000000 28.000000 0.344037 0.720000 0.091487
0.107000 71.000000 710.000000 380.000000 29.000000 0.348624 0.710000 0.090909
0.108000 71.000000 703.000000 387.000000 29.000000 0.355046 0.710000 0.091731
0.109000 71.000000 700.000000 390.000000 29.000000 0.357798 0.710000 0.092088
0.110000 69.000000 696.000000 394.000000 31.000000 0.361468 0.690000 0.090196
0.111000 69.000000 695.000000 395.000000 31.000000 0.362385 0.690000 0.090314
0.112000 69.000000 692.000000 398.000000 31.000000 0.365138 0.690000 0.090670
0.113000 69.000000 688.000000 402.000000 31.000000 0.368807 0.690000 0.091149
0.114000 68.000000 682.000000 408.000000 32.000000 0.374312 0.680000 0.090667
0.115000 68.000000 677.000000 413.000000 32.000000 0.378899 0.680000 0.091275
0.116000 66.000000 672.000000 418.000000 34.000000 0.383486 0.660000 0.089431
0.117000 64.000000 667.000000 423.000000 36.000000 0.388073 0.640000 0.087551
0.118000 64.000000 665.000000 425.000000 36.000000 0.389908 0.640000 0.087791
0.119000 64.000000 662.000000 428.000000 36.000000 0.392661 0.640000 0.088154
0.120000 63.000000 661.000000 429.000000 37.000000 0.393578 0.630000 0.087017
0.121000 63.000000 660.000000 430.000000 37.000000 0.394495 0.630000 0.087137
0.122000 63.000000 656.000000 434.000000 37.000000 0.398165 0.630000 0.087622
0.123000 62.000000 653.000000 437.000000 38.000000 0.400917 0.620000 0.086713
0.124000 62.000000 648.000000 442.000000 38.000000 0.405505 0.620000 0.087324
0.125000 61.000000 646.000000 444.000000 39.000000 0.407339 0.610000 0.086280
0.126000 61.000000 641.000000 449.000000 39.000000 0.411927 0.610000 0.086895
0.127000 60.000000 639.000000 451.000000 40.000000 0.413761 0.600000 0.085837
0.128000 59.000000 634.000000 456.000000 41.000000 0.418349 0.590000 0.085137
0.129000 59.000000 629.000000 461.000000 41.000000 0.422936 0.590000 0.085756
0.130000 58.000000 626.000000 464.000000 42.000000 0.425688 0.580000 0.084795
0.131000 57.000000 626.000000 464.000000 43.000000 0.425688 0.570000 0.083455
0.132000 57.000000 620.000000 470.000000 43.000000 0.431193 0.570000 0.084195
0.133000 55.000000 614.000000 476.000000 45.000000 0.436697 0.550000 0.082212
