THRESH TP FP TN FN ESPECIFICIDADE SENSITIVIDADE
0.000000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.001000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.002000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.003000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.004000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.005000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.006000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.007000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.008000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.009000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.010000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.011000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.012000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.013000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.014000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.015000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.016000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.017000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.018000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.019000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.020000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.021000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.022000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.023000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.024000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.025000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.026000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.027000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.028000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.029000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.030000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.031000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.032000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.033000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.034000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.035000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.036000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.037000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.038000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.039000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.040000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.041000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.042000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.043000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.044000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.045000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.046000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.047000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.048000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.049000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.050000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.051000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.052000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.053000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.054000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.055000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.056000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.057000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.058000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.059000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.060000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.061000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
0.062000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000
